# Seed book catalogue — pipe-separated values
# Format: title|author|published_year|isbn|description
# Lines starting with # are ignored. Blank lines are ignored.

# ---------------------------------------------------------------------------
# Discworld — Terry Pratchett
# ---------------------------------------------------------------------------
The Last Continent|Terry Pratchett|1998|9780552146142|Rincewind is stranded on XXXX, a continent at the end of the world running on narrative clichés, while the Unseen University wizards search for him somewhere in the distant past.
Carpe Jugulum|Terry Pratchett|1998|9780552146159|A family of progressive, self-help vampires invades the kingdom of Lancre, and Granny Weatherwax — whose faith is wavering — may be the only one who can resist their influence.
The Fifth Elephant|Terry Pratchett|1999|9780552146166|Vimes travels to Uberwald as Ankh-Morpork's reluctant ambassador and uncovers a conspiracy involving the dwarf clans, a missing replica, and the werewolf political situation.
The Truth|Terry Pratchett|2000|9780385601214|William de Worde accidentally invents the newspaper in Ankh-Morpork and finds himself investigating a conspiracy to frame Lord Vetinari for murder.
Thief of Time|Terry Pratchett|2001|9780385601221|A master clockmaker is commissioned to build the first truly accurate clock, which would stop time itself — and only the History Monks and a young apprentice can prevent it.
The Last Hero|Terry Pratchett|2001|9780575068858|Cohen the Barbarian and his Silver Horde plan to return fire to the gods atop Cori Celesti, which would destroy the Disc, forcing an unlikely rescue mission in a primitive spacecraft.
The Amazing Maurice and His Educated Rodents|Terry Pratchett|2001|9780385601238|A streetwise cat leads a group of self-aware rats and an earnest pied-piper boy in a profitable scam that goes dangerously wrong in a town where something has already eaten the rats.
Night Watch|Terry Pratchett|2002|9780385602501|Commander Vimes is thrown back in time to his younger self's era and must navigate the Glorious Revolution of the 25th of May while keeping his own history on track.
The Wee Free Men|Terry Pratchett|2003|9780385602518|Nine-year-old Tiffany Aching armed with a frying pan and aided by a clan of tiny blue pictsies must rescue her baby brother from the Queen of the Fairies.
Monstrous Regiment|Terry Pratchett|2003|9780385602525|A girl disguises herself as a boy to enlist and find her missing brother in a beleaguered army fighting a war for a country run entirely on religious zealotry.
A Hat Full of Sky|Terry Pratchett|2004|9780385608602|Tiffany Aching leaves home to apprentice with a real witch and is possessed by a hiver, a bodiless creature that has been hunting minds for millennia.
Going Postal|Terry Pratchett|2004|9780385603416|Moist von Lipwig, a career conman, is given a choice — death or taking charge of Ankh-Morpork's long-derelict Post Office and making it work.
Thud!|Terry Pratchett|2005|9780385608619|Vimes investigates the murder of a dwarf deep in the mines as centuries-old tensions between dwarfs and trolls threaten to reignite into full-scale street war.
Wintersmith|Terry Pratchett|2006|9780385609753|Tiffany Aching steps into a dance meant only for the seasons and the Wintersmith — the spirit of winter — falls in destructive obsessive love with her.
Making Money|Terry Pratchett|2007|9780385611015|Moist von Lipwig is press-ganged into running Ankh-Morpork's Royal Bank and its broken mint, with a small dog as majority shareholder and the Lavish family plotting against him.
Unseen Academicals|Terry Pratchett|2009|9780385611022|The wizards of Unseen University must learn to play foot-the-ball or lose their ancient right to a free dinner, while a young man from the Night Kitchen changes everything.
I Shall Wear Midnight|Terry Pratchett|2010|9780385611039|Tiffany Aching faces the Cunning Man, an ancient malevolent force that turns communities against witches, while dealing with the very human complications of being the local witch.
Snuff|Terry Pratchett|2011|9780385611046|Commander Vimes takes a forced holiday in the countryside and finds himself investigating the trafficking and murder of goblins, a people nobody considers worth protecting.
Raising Steam|Terry Pratchett|2013|9780552170468|The steam engine comes to the Disc, and Moist von Lipwig must manage its rapid proliferation while a dwarfish fundamentalist movement violently resists all change.
The Shepherd's Crown|Terry Pratchett|2015|9780062429971|Tiffany Aching faces her greatest challenge as the elves, emboldened by loss in the world of humans, attempt to reclaim the Disc and the witches must close ranks.

# ---------------------------------------------------------------------------
# A Song of Ice and Fire — George R.R. Martin
# ---------------------------------------------------------------------------
A Game of Thrones|George R.R. Martin|1996|9780553103540|Noble houses across Westeros war for the Iron Throne while in the frozen north an ancient evil stirs, and a exiled princess plots her return across the Narrow Sea.
A Clash of Kings|George R.R. Martin|1998|9780553108033|The realm fractures as five kings press their claims simultaneously, a comet blazes across the sky, and dragons are reborn for the first time in over a century.
A Storm of Swords|George R.R. Martin|2000|9780553106633|The war of five kings reaches its bloody climax through treachery, impossible battles, and a series of deaths that shatter every expectation of how such stories end.
A Feast for Crows|George R.R. Martin|2005|9780553801507|The aftermath of war leaves the Seven Kingdoms economically ruined and politically unstable as new and dangerous players make their moves on a weakened board.
A Dance with Dragons|George R.R. Martin|2011|9780553801477|Daenerys struggles to rule the slave city of Meereen as her dragons grow uncontrollable, while Jon Snow faces threats from beyond the Wall and from within the Night's Watch.

# ---------------------------------------------------------------------------
# Powder Mage — Brian McClellan
# ---------------------------------------------------------------------------
Promise of Blood|Brian McClellan|2013|9780316219037|Field Marshal Tamas leads a bloody coup against the corrupt Adran monarchy, only to discover the gods of the Dynize people may be real and are returning to reclaim the world.
The Crimson Campaign|Brian McClellan|2014|9780316219051|Tamas and his powder mages are cut off behind enemy lines while his son Taniel fights addiction and conspiracy in the capital as the Adran war effort begins to collapse.
The Autumn Republic|Brian McClellan|2015|9780316219068|The gods walk the earth, foreign armies occupy the capital, and Tamas must unite powder mages, privileged sorcerers, and common soldiers for a final desperate defence.
Sins of Empire|Brian McClellan|2017|9780316310598|A new generation of soldiers and powder mages uncover a conspiracy deep in the occupied Dynize continent that could plunge the world back into divine war.
Wrath of Empire|Brian McClellan|2017|9780316310611|The Dynize invade Landfall and an unlikely alliance of powder mages, bone-eyes, and street criminals must hold the city against an enemy that controls the power of gods.
Blood of Empire|Brian McClellan|2019|9780316310635|Michel Bravis works as a spy inside the Dynize occupation while Ben Styke and the Mad Lancers fight a brutal guerrilla war to drive the conquerors from Landfall.

# ---------------------------------------------------------------------------
# General fiction — diverse sample for cross-genre similarity
# ---------------------------------------------------------------------------
Nineteen Eighty-Four|George Orwell|1949|9780451524935|A totalitarian society surveils and controls every aspect of human life through propaganda, doublethink, and the systematic destruction of truth and memory.
Brave New World|Aldous Huxley|1932|9780060850524|A future society engineered for frictionless stability through genetic conditioning, pleasure drugs, and the elimination of family, art, and individual aspiration.
The Handmaid's Tale|Margaret Atwood|1985|9780385490818|A theocratic regime strips women of all rights and identities; the tale of one handmaid's resistance narrated under conditions where even writing is forbidden.
Dune|Frank Herbert|1965|9780441013593|A desert planet holds the universe's most precious resource; the fate of empire, ecology, religion, and humanity converge on a boy who may be the prophesied messiah.
Foundation|Isaac Asimov|1951|9780553293357|A mathematician predicts the inevitable fall of galactic civilisation and plants twin seeds of recovery to shorten the dark age from thirty thousand years to one thousand.
The Name of the Wind|Patrick Rothfuss|2007|9780756404741|A legendary wizard recounts his own story — from orphaned street child to the most famous man alive — in a world where knowing the true name of a thing gives power over it.
To Kill a Mockingbird|Harper Lee|1960|9780061935466|A small-town Alabama lawyer defends a Black man falsely accused of rape in the 1930s, witnessed through the eyes of his young daughter Scout growing into moral understanding.
One Hundred Years of Solitude|Gabriel Garcia Marquez|1967|9780060883287|Seven generations of the Buendia family found, inhabit, and are undone by the mythical town of Macondo in a story where the miraculous and the mundane are indistinguishable.
The Road|Cormac McCarthy|2006|9780307387899|A father and son walk south through the ash-covered ruins of America, carrying the fire of human decency against a world that has almost entirely extinguished it.
Sapiens|Yuval Noah Harari|2011|9780062316097|A sweeping history of the human species from the cognitive revolution to the present, questioning whether the pursuit of progress has made us any happier.
